itemId,name,useDescription,itemType,imageKey,initialAmount,stackLimit,consumable,useType,effectId,useValue,healthMultiplier,attackMultiplier,defenseMultiplier,specialAttackMultiplier,specialDefenseMultiplier,speedMultiplier,aetherType,skillId1,skillId2,skillId3,memo
10001,Small Health Potion,,Recovery,,0,1,true,Instant,0,20,1,1,1,1,1,1,None,0,0,0,
10002,Good Health Potion,"Restores 50 HP, up to maximum HP.",Recovery,,0,1,true,Instant,0,50,1,1,1,1,1,1,None,0,0,0,Runtime implementation required; do not infer behavior from item names.
11001,Weapon Enhancement Stone,,Enhancement,,0,1,true,Material,0,0,1,1,1,1,1,1,None,0,0,0,
11002,Aether Enhancement Stone,,Enhancement,,0,1,true,Material,0,0,1,1,1,1,1,1,None,0,0,0,
10003,Advanced Health Potion,"Restores 200 HP, up to maximum HP.",Recovery,,0,1,true,Instant,0,200,1,1,1,1,1,1,None,0,0,0,Runtime implementation required; do not infer behavior from item names.
10004,Full Health Potion,"Restores 9999 HP, up to maximum HP.",Recovery,,0,1,true,Instant,0,9999,1,1,1,1,1,1,None,0,0,0,Runtime implementation required; do not infer behavior from item names.
10005,Paralysis Cure,Cures Paralysis only.,Recovery,,0,1,true,Instant,0,0,1,1,1,1,1,1,None,0,0,0,Runtime implementation required; do not infer behavior from item names.
10006,Burn Cure,Cures Burn only.,Recovery,,0,1,true,Instant,0,0,1,1,1,1,1,1,None,0,0,0,Runtime implementation required; do not infer behavior from item names.
10007,Frostbite Cure,Cures Frostbite only.,Recovery,,0,1,true,Instant,0,0,1,1,1,1,1,1,None,0,0,0,Runtime implementation required; do not infer behavior from item names.
10008,Sleep Cure,Cures Sleep only.,Recovery,,0,1,true,Instant,0,0,1,1,1,1,1,1,None,0,0,0,Runtime implementation required; do not infer behavior from item names.
10009,Poison Cure,Cures Poison and Toxic only.,Recovery,,0,1,true,Instant,0,0,1,1,1,1,1,1,None,0,0,0,Runtime implementation required; do not infer behavior from item names.
10010,Panacea,"Removes all current status effects, including future additions.",Recovery,,0,1,true,Instant,0,0,1,1,1,1,1,1,None,0,0,0,Runtime implementation required; do not infer behavior from item names.
